Papaverine,WT-1,WT-2,WT-3,PAP1-1,PAP1-2,PAP1-3,PAP2-1,PAP2-2,PAP2-3,PAP3-1,PAP3-2,PAP3-3,PAP4-1,PAP4-2,PAP4-3,DH10B
0,804.2488465,792.6431915,871.3624542,528.3018946,493.2378799,509.9601613,1561.675428,1593.956875,1415.432588,1579.615866,1571.361425,1661.134751,1006.219119,1029.340205,1044.440853,226.3976663
0.1,803.6721209,800.4491846,843.6803639,494.6941329,544.6414278,497.0303126,1586.576335,1595.052008,1455.291244,1648.884549,1634.678007,1697.247648,1041.93761,1060.029716,1088.278862,223.796487
0.25,804.6913102,830.582086,909.7001382,513.025414,516.6586339,555.4655806,1609.561759,1582.146815,1542.570418,1713.180914,1674.955837,1741.563738,1133.377147,1126.714009,1169.474678,225.837022
0.5,821.3819869,808.9417749,907.4409822,539.1920323,529.6404357,508.7390768,1635.988501,1624.764339,1593.709442,1815.128767,1759.097415,1805.800267,1243.075942,1266.546879,1256.369385,219.9845067
1,809.808049,847.3469223,911.4797017,555.1926888,533.8078256,512.9022081,1662.177154,1629.594607,1653.179238,1923.774882,1832.452338,1902.713501,1497.76822,1514.037441,1514.613254,220.8201881
2.5,818.5516864,795.9714231,885.8075392,529.3832122,562.1301893,560.0649381,1754.357936,1720.567229,1782.442071,2214.967379,2107.451208,2171.258787,2334.744398,2410.655279,2460.758739,231.7404518
5,811.336023,818.7134637,896.6087739,582.1917724,569.5278395,566.8210328,1912.066999,1926.856769,1989.044764,2952.145184,2871.205949,2873.276794,4775.336324,4940.921997,4778.162654,239.1799534
10,832,824.1159021,970.7918321,622.6930039,652.733141,641.6937877,2401.377489,2301.922072,2448.175427,4619.85388,4700.01636,5119.33772,11633.63016,11355.13999,10987.79913,242.287201
25,913.2795934,917.3126745,974.2216113,827.0676489,824.9267779,810.5059814,3729.816008,3724.137994,3983.037392,10759.14088,11455.9633,10768.46128,27327.38569,28296.82834,26705.67204,220.718543
50,998.2713999,1035.294137,1158.985567,1161.740578,1161.751607,1178.555574,6870.228986,6431.291373,7076.31508,19395.80631,18981.68047,19314.15136,41893.09792,43509.65532,41481.05462,219.1046623
100,1146.396848,1146.290337,1231.740343,2136.723912,2197.914905,2028.985575,13760.69842,12595.50877,13365.94582,31093.03958,31889.91823,31475.70292,53552.95097,54568.21604,53618.68119,222.3251465
250,1616.845306,1621.503505,1767.584087,5985.688566,6289.275028,5683.492096,23708.28379,23302.51272,25254.26651,41965.84102,42426.60276,41830.84416,58969.13978,60075.84208,58748.70484,216.5045594