Tetrahydropapaverine,WT-1,WT-2,WT-3,THP1-1,THP1-2,THP1-3,THP2-1,THP2-2,THP2-3,THP3-1,THP3-2,THP3-3,THP4-1,THP4-2,THP4-3,DH10B
0,2294.97882,2403.236033,2366.651066,1065.051008,1040.752332,1035.469988,768.3811567,789.0914773,778.3497243,345.1507236,338.851917,348.9106283,352.0575726,359.80552,326.5114814,208.7864266
0.1,2347.880536,2405.783752,2426.335163,1089.355139,1072.579375,1068.356033,842.6535838,848.4092247,869.7689047,374.4149925,343.8264106,366.3118204,339.3213505,338.9830386,333.024986,193.2641734
0.25,2334.550028,2393.390979,2413.036722,1110.227422,1106.187666,1093.32911,966.4968175,999.2193457,1003.578627,450.1254672,402.2380139,431.3601855,379.3418503,375.0384168,364.5275036,214.604639
0.5,2429.494248,2481.028426,2490.039877,1215.158174,1202.074197,1185.011693,1294.463331,1342.323932,1352.032811,753.4967609,736.2056188,781.9314404,603.4351947,606.9453077,555.1376797,184.2664759
1,2523.202819,2569.487357,2560.185178,1398.224457,1385.598476,1370.853652,2255.545076,2310.195272,2251.123983,2805.31105,2558.10355,2637.187773,2181.157226,2140.757956,2184.629614,176.1307624
2.5,2746.923191,2742.261669,2775.70085,2060.567119,1984.600929,1933.218863,6356.091532,6873.925924,6895.061708,15149.2202,15783.50239,15928.58201,14771.28106,13419.32554,13909.29753,188.7062122
5,3121.617346,3168.285878,3126.277615,3191.060145,3325.552444,3484.375078,16776.97604,17516.44244,18233.23757,33871.11877,31384.26243,31439.07061,30472.66806,31708.73518,31397.86508,205.8218229
10,3942.530481,3886.204232,3942.277858,7256.971794,7274.988377,6966.238427,32087.40265,33708.5788,33377.61737,52418.00194,52756.50865,50960.32021,49645.75336,49111.78244,49130.8896,192.9493687
25,7458.977631,7250.275431,7225.188543,19713.70549,21209.66497,20569.91613,53973.08232,54895.33057,53723.06585,67490.76053,67511.45488,67725.36095,62682.48955,61671.90257,63281.78713,198.2633908
50,12905.70696,12332.50949,12635.76576,32791.01224,36007.34314,33338.87981,64071.66917,63887.53144,64086.08798,71601.20841,72059.08805,72949.69897,66276.8328,67025.84148,66880.19501,183.2347489
100,23968.03542,23641.9084,22117.32756,50018.19539,50565.80699,49536.11952,67997.59463,68499.15681,69326.1718,71456.22221,72474.0683,73788.20394,67476.12792,67162.00277,66840.45646,198.3085402
250,43209.548,41793.91042,43092.56583,61710.6883,61673.04878,63147.9577,69680.91472,68449.47008,70182.93424,70540.37482,71382.37835,72587.72628,66161.44536,66455.88823,66957.77651,208.7532435