Glaucine,WT-1,WT-2,WT-3,GLAU1-1,GLAU1-2,GLAU1-3,GLAU2-1,GLAU2-2,GLAU2-3,GLAU3-1,GLAU3-2,GLAU3-3,GLAU4-1,GLAU4-2,GLAU4-3,DH10B
0,2288.668966,2371.634485,2378.121268,1683.018807,1643.192492,1637.321299,305.283137,291.9937094,346.4021375,355.5555698,367.0559522,366.4841929,311.1387807,312.6451088,313.1297485,145.3612713
0.1,2291.259312,2348.49609,2368.851167,1724.189636,1659.593834,1637.996679,306.8563224,292.9133902,306.309056,403.1149705,405.4260175,407.2883087,399.4270988,358.2136583,364.9520286,136.1655821
0.25,2320.675009,2320.106539,2341.678871,1743.827155,1699.861016,1679.878002,291.0216594,282.1512098,297.701685,543.4782464,503.6616452,525.7543498,540.7085255,539.8174402,528.3849491,142.0051063
0.5,2300.305455,2304.22133,2334.601868,1781.23588,1746.508506,1718.048447,302.9834604,316.6144144,323.6501303,848.0124758,851.2600012,891.996933,1141.423683,1091.764726,1110.416006,141.1432549
1,2279.589347,2325.930319,2340.262854,1864.591488,1833.542007,1821.812532,344.9392673,324.2052265,345.3789537,2141.046019,2090.608819,2131.377697,3437.500077,3368.289342,3410.467585,145.2401496
2.5,2344.231924,2303.928875,2342.013042,2083.903406,2049.67973,2067.374273,355.9457243,356.5258506,372.2366812,9727.699552,9738.919784,9482.190275,16121.55342,15946.28617,15991.55445,142.5720025
5,2346.211072,2355.463589,2380.80815,2559.926285,2536.434184,2514.761582,429.2379427,438.5009949,437.2215642,25713.83428,25922.01321,26044.83289,35604.05321,35241.57196,35323.00031,128.1329182
10,2424.109834,2444.811563,2475.20278,3638.579872,3542.179645,3551.119247,608.1081114,610.1281163,589.0804655,44906.82417,45155.46545,45293.66477,52252.90784,51553.8631,51389.84216,139.244099
25,2704.182392,2666.4699,2726.174224,7836.025701,7710.20819,7739.799698,1783.056199,1767.112471,1586.592152,59658.71572,60460.21914,61254.88168,62857.5812,62381.38875,61246.36221,148.2422714
50,3070.162101,3084.473538,3125.000119,15831.94777,15642.91251,15708.20687,4935.127318,5109.638851,4855.500735,62958.61568,64006.97959,65124.41521,64499.07908,63888.80554,62972.51437,162.2775834
100,3883.002689,3888.398152,3921.336747,29471.16923,29089.41403,28785.40645,13966.95485,14651.40967,13700.92003,63627.21902,64329.44947,64631.78578,63989.345,62927.97547,62171.51635,137.6146811
250,6629.656887,6694.739828,6651.341985,48752.65687,48715.69668,47676.48841,36917.91515,37623.32387,35511.45193,63292.46077,63573.72831,63309.02215,63035.7672,61940.98919,61308.5855,143.2913533