Label,0uM.1,0uM.2,0uM.3,10uM.1,10uM.2,10uM.3,100uM.1,100uM.2,100uM.3
Title,Activity of Evolved THP Synthases,,,,,,,,
Xtitle,O-Methyltransferase Variant,,,,,,,,
Ytitle,RFU/OD600,,,,,,,,
TAA,842.5256917,842.6862829,858.0548486,883.2018629,889.885944,867.8313657,917.1483732,961.4266036,892.9605138
WT,889.5065585,875.2957458,883.9394499,1205.586011,1184.479252,1142.661704,12577.11573,11759.73166,10659.8188
Gen1,1031.324443,1007.531337,1014.222801,1881.838079,2030.835482,2016.971272,21684.13546,19318.89008,19980.56591
Gen2,1168.215836,1166.190584,1167.60827,6951.96218,7177.246146,7476.512241,25142.35097,24118.15597,22622.72339
Gen3,1232.732973,1211.926939,1233.920135,29137.63816,32637.56626,31369.0192,46473.20087,45648.52855,46282.66667
Gen4,1284.338249,1272.993625,1315.789482,49810.71342,52673.33124,50116.88339,63793.22421,62228.21665,63487.5662
Gen5,1106.643305,1158.862896,1149.386686,54162.86031,56075.35933,55011.37326,70372.48842,69507.47128,69919.36699