,WT1,WT2,WT3,NOS1-1,NOS1-2,NOS1-3,NOS2-1,NOS2-2,NOS2-3,NOS3-1,NOS3-2,NOS3-3,NOS4-1,NOS4-2,NOS4-3,DH10B
0,2036.585362,2028.937299,2006.300773,483.5088824,498.8662097,474.8936363,282.8420535,283.6134388,284.3856339,253.5258525,247.4916429,245.9300189,241.9941753,227.4281786,225.4595848,116.3859117
0.05,2049.234916,2007.428969,2006.936801,483.764062,479.5649152,476.9846429,280.7955968,278.1055186,283.9506314,260.5041892,250.6640086,260.7362056,266.3092146,243.6946235,241.4096937,120.7729455
0.1,2019.167242,1951.726404,1963.258826,477.6169124,486.4593593,466.1776698,279.2089044,275.463349,284.3260731,268.9325093,266.842361,275.6637867,279.6081859,271.2284926,274.4608774,120.37037
0.25,2041.962632,1965.214618,1996.399876,483.9786299,490.8180488,489.9183626,289.0076989,274.0189473,298.6989114,345.2321026,338.698847,358.938807,453.7877344,427.1982889,414.7217374,118.1592076
0.5,2041.430104,1991.047685,1997.002095,507.8720414,504.8776473,496.7386072,287.4812063,283.6998367,284.1701563,553.4868094,544.9544186,597.7051123,1010.618094,955.0260065,905.3497964,128.0864194
1,2055.049035,1997.663517,1998.341674,522.2734178,501.0966724,507.3816592,298.8350509,296.6811954,327.7220775,1540.805924,1439.920543,1531.972318,3783.783694,3581.66205,3193.902961,130.4347839
2.5,2077.091404,1988.813873,2009.795879,578.4280112,573.544586,571.2331224,383.5800881,384.8773934,405.4054174,7186.761457,6352.821142,6974.762056,18335.15267,17842.62264,18023.64052,120.8702604
5,2092.015311,2006.764454,2022.344482,677.5974571,672.1977494,661.5177872,535.4774372,536.9688712,611.5555556,19147.20746,19005.71122,18674.57366,43114.12448,33266.62959,33649.51595,128.225678
10,2150.358367,2082.92514,2106.974386,963.2488686,960.5747218,930.6231858,1146.594197,1119.035434,1311.561283,35297.85909,37138.17774,35469.92878,61955.17587,50590.73793,52461.19596,125.2544214
25,2335.059346,2250.602401,2279.724881,2410.095758,2340.353762,2092.715328,4714.759651,4645.354613,5548.086709,53127.83422,52856.66786,53680.52135,75137.33556,62505.1464,62440.48908,122.2153513
50,2604.285984,2551.052965,2614.378985,6234.607735,5852.617591,5207.8595,14897.2942,12463.09446,15873.15272,58266.88496,58000.65163,57508.70522,77719.26514,64613.75982,63732.74004,126.3871733
100,2958.360242,2749.960153,2849.376368,9719.62579,9677.526735,9255.319127,23111.92404,20810.39417,28806.19212,59053.74377,58819.02534,58618.62019,76948.16787,64195.19664,64267.60308,122.1374099